num;Name;Profile ID;Date;Likes;Comment;Comment ID;Profile URL;Comment URL
30;cristiebellat;48866828238;03/11/2023 18:43;0;Me tienen harta hablan y hablan y nunca lo hacen;1,81E+16;https://www.instagram.com/cristiebellat/;https://www.instagram.com/p/CzMR63HuST8/c/18085887727386105
31;leonardo.velasquez.v;5771982785;03/11/2023 18:46;0;Desde hace un año dicen eso ...;1,79E+16;https://www.instagram.com/leonardo.velasquez.v/;https://www.instagram.com/p/CzMR63HuST8/c/17893857050914977
32;robertoe.balcazarv;3096475018;03/11/2023 18:52;0;Muy pocas unidades para tanta demanda;1,80E+16;https://www.instagram.com/robertoe.balcazarv/;https://www.instagram.com/p/CzMR63HuST8/c/18027902254674255
33;ema0391;1579434582;03/11/2023 18:55;0;@1208brengur 👀;1,80E+16;https://www.instagram.com/ema0391/;https://www.instagram.com/p/CzMR63HuST8/c/17979189899611111
34;chlesea.adams;56576564182;03/11/2023 18:56;0;2024;1,82E+16;https://www.instagram.com/chlesea.adams/;https://www.instagram.com/p/CzMR63HuST8/c/18213300013267000
35;fabiojlo140;4665076935;03/11/2023 19:03;0;Será;1,79E+16;https://www.instagram.com/fabiojlo140/;https://www.instagram.com/p/CzMR63HuST8/c/17851906668050202
36;ramstuard;2015886043;03/11/2023 19:05;0;Desde el año pasado con esta vaina, paltean;1,79E+16;https://www.instagram.com/ramstuard/;https://www.instagram.com/p/CzMR63HuST8/c/17892920276849022
37;1208brengur;1985101764;03/11/2023 19:09;0;@ema0391 siii para diciembre eso será de mucha ayuda 🙌;1,79E+16;https://www.instagram.com/1208brengur/;https://www.instagram.com/p/CzMR63HuST8/c/17905824170792653
38;annie.valiente;2356265067;03/11/2023 19:11;0;@richitrujillo;1,83E+16;https://www.instagram.com/annie.valiente/;https://www.instagram.com/p/CzMR63HuST8/c/18270590638088145
39;nico_atr2023;304985961;03/11/2023 19:12;0;Del 2026;1,80E+16;https://www.instagram.com/nico_atr2023/;https://www.instagram.com/p/CzMR63HuST8/c/18036831244590391
40;janolopezvilla;4315740106;03/11/2023 19:17;0;Que vergüenza dijeron en diciembre 2022;1,80E+16;https://www.instagram.com/janolopezvilla/;https://www.instagram.com/p/CzMR63HuST8/c/17989938467385343
41;ce.8125;45206946692;03/11/2023 19:20;0;@heisenberg1513 esta obra tiene 1 año a más parada;1,80E+16;https://www.instagram.com/ce.8125/;https://www.instagram.com/p/CzMR63HuST8/c/17973276281480070
42;david.loza.villasis;191584904;03/11/2023 19:27;0;@heisenberg1513 esa obra es de los privados y solo paran robando al estado;1,80E+16;https://www.instagram.com/david.loza.villasis/;https://www.instagram.com/p/CzMR63HuST8/c/17993641319135399
43;danjiru_0;234607690;03/11/2023 19:28;0;Ese Porky se está gastando la plata en idioteces en vez de terminar el metropolitano;1,79E+16;https://www.instagram.com/danjiru_0/;https://www.instagram.com/p/CzMR63HuST8/c/17907612572849652
44;coryquirozv;1603185211;03/11/2023 19:38;0;🙄🙄🙄;1,80E+16;https://www.instagram.com/coryquirozv/;https://www.instagram.com/p/CzMR63HuST8/c/18024673123697881
45;delia.milagross;1525640241;03/11/2023 19:43;0;Solo esas estaciones van a funcionar? Y las intermedias? 😢;1,80E+16;https://www.instagram.com/delia.milagross/;https://www.instagram.com/p/CzMR63HuST8/c/18037591696587268
46;gonzangles;3259560198;03/11/2023 19:51;0;Le creo?;1,80E+16;https://www.instagram.com/gonzangles/;https://www.instagram.com/p/CzMR63HuST8/c/17974940060444613
47;josecarlos__08;4617707188;03/11/2023 20:30;0;@nohelia_borja Amoooor 🥺❤️;1,80E+16;https://www.instagram.com/josecarlos__08/;https://www.instagram.com/p/CzMR63HuST8/c/18008727035073909
48;jgarcial22;10663283030;03/11/2023 20:40;0;@javier_paucar_camilo;1,79E+16;https://www.instagram.com/jgarcial22/;https://www.instagram.com/p/CzMR63HuST8/c/17940474929736787
49;gabo_loo;1489028696;03/11/2023 20:44;0;JAJJAJAJAJAJAJJAJAJAJAJJAJAJAJJAJAJAJAJJQJAJJAJAJAJAJAJAQJAJAJAJJAJAJAJAJJAJAJAJAJAJAJJQJQJQQJJQJQJQJHAJAJSHDHWHWVVDD;1,80E+16;https://www.instagram.com/gabo_loo/;https://www.instagram.com/p/CzMR63HuST8/c/18027628564667267
50;gabo_loo;1489028696;03/11/2023 20:45;0;15 de diciembre de 2050???;1,82E+16;https://www.instagram.com/gabo_loo/;https://www.instagram.com/p/CzMR63HuST8/c/18201790645278878
51;jacqueline_moscol;225663451;03/11/2023 20:47;0;@thomas.vilca 😃;1,80E+16;https://www.instagram.com/jacqueline_moscol/;https://www.instagram.com/p/CzMR63HuST8/c/17979673913545402
52;arnaldo.ramirez.5264382;40696489585;03/11/2023 20:51;0;Y la ampliación hacia el sur de Lima para cuando?;1,79E+16;https://www.instagram.com/arnaldo.ramirez.5264382/;https://www.instagram.com/p/CzMR63HuST8/c/17900510543888591
53;nohelia_borja;4676021575;03/11/2023 21:01;0;@josecarlos__08 xD lo mismo dijeron el año pasado amor 😢 ojalá sea verdad;1,83E+16;https://www.instagram.com/nohelia_borja/;https://www.instagram.com/p/CzMR63HuST8/c/18321135136103320
54;d_gp_28;47606363008;03/11/2023 21:18;0;Deben poner más carros;1,79E+16;https://www.instagram.com/d_gp_28/;https://www.instagram.com/p/CzMR63HuST8/c/17897157524908676
55;partido_republicano_peru;2301523837;03/11/2023 21:30;0;Yo quiero la lista de las personas que diseñaron ese tramo del metropolitano y de que universidad agresaron, porque para una obra que ya está acabada tenga decenas de errores dice mucho de la capacidad profesional de esos ingenieros y arquitectos 🙄;1,80E+16;https://www.instagram.com/partido_republicano_peru/;https://www.instagram.com/p/CzMR63HuST8/c/18001359995483076
56;luis_alencastre;302627956;03/11/2023 21:48;0;Ver para creer;1,80E+16;https://www.instagram.com/luis_alencastre/;https://www.instagram.com/p/CzMR63HuST8/c/17988531938216131
57;fernandorf7;1440390379;03/11/2023 22:42;0;Ya no se les cree ... Incapacidad total de ATU 🔥🔥🔥;1,80E+16;https://www.instagram.com/fernandorf7/;https://www.instagram.com/p/CzMR63HuST8/c/18035696977609404
58;lelysmilagros;1685842898;03/11/2023 22:55;0;@and.pinas xd;1,80E+16;https://www.instagram.com/lelysmilagros/;https://www.instagram.com/p/CzMR63HuST8/c/18025397611752598
59;aldo.id.18;1544941350;03/11/2023 23:09;0;Hace 1 año 🤣;1,79E+16;https://www.instagram.com/aldo.id.18/;https://www.instagram.com/p/CzMR63HuST8/c/17864498058020442
60;and.pinas;3882613348;03/11/2023 23:27;0;@lelysmilagros haha ojala lo aperturen antes xd;1,80E+16;https://www.instagram.com/and.pinas/;https://www.instagram.com/p/CzMR63HuST8/c/17972073827627202
